tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_winner
2024-1017,Cincinnati,Hard,64,PM,20240812,258,214643,10,,Liudmila Samsonova,R,180.0,RUS,25.7,216133,,,Xin Yu Wang,R,182.0,CHN,22.8,6-4 6-4,3,R64,91.0,2.0,6.0,60.0,25.0,19.0,16.0,10.0,4.0,7.0,2.0,5.0,65.0,40.0,23.0,9.0,10.0,3.0,8.0,17.0,2450.0,39.0,1471.0,0
2023-540,Wimbledon,Grass,128,G,20230703,118,220714,,,Elisabetta Cocciaretto,R,,ITA,22.4,215785,,,Camila Osorio,R,162.0,COL,21.5,6-3 6-4,3,R128,74.0,1.0,8.0,55.0,32.0,18.0,9.0,9.0,7.0,12.0,1.0,9.0,54.0,35.0,16.0,2.0,10.0,2.0,10.0,43.0,1100.0,71.0,848.0,0
2024-1077,Jiujiang,Hard,32,I,20241028,275,211337,,,Tamara Korpatsch,R,170.0,GER,29.4,221187,,Q,Priska Madelyn Nugroho,R,,INA,21.4,6-0 6-1,3,R32,65.0,1.0,2.0,33.0,14.0,11.0,13.0,6.0,1.0,2.0,0.0,2.0,47.0,26.0,12.0,3.0,7.0,4.0,11.0,200.0,359.0,535.0,90.0,0
2023-520,Roland Garros,Clay,128,G,20230529,114,211814,,,Julia Grabher,R,170.0,AUT,26.9,201551,,Q,Arantxa Rus,L,180.0,NED,32.4,6-2 6-3,3,R128,86.0,1.0,9.0,71.0,48.0,35.0,8.0,8.0,6.0,7.0,1.0,3.0,57.0,36.0,18.0,8.0,9.0,1.0,6.0,61.0,929.0,114.0,586.0,0
2022-1056,Tokyo,Hard,32,P,20220919,278,206242,5,,Beatriz Haddad Maia,L,185.0,BRA,26.3,216044,,WC,Yuki Naito,R,,JPN,21.5,6-4 6-2,3,R32,104.0,3.0,3.0,55.0,44.0,35.0,5.0,9.0,5.0,5.0,4.0,4.0,70.0,45.0,30.0,10.0,9.0,8.0,11.0,16.0,2255.0,210.0,309.0,0
2022-560,Us Open,Hard,128,G,20220829,106,215713,,,Anastasia Potapova,R,175.0,RUS,21.4,214906,,,Claire Liu,R,170.0,USA,22.2,6-1 6-4,3,R128,76.0,0.0,2.0,54.0,37.0,30.0,10.0,9.0,3.0,3.0,4.0,0.0,49.0,29.0,21.0,9.0,8.0,4.0,7.0,52.0,1066.0,82.0,730.0,0
2024-2092,Ningbo,Hard,32,P,20241014,288,206252,4,,Barbora Krejcikova,R,178.0,CZE,28.8,215946,,LL,Ye Xin Ma,U,,CHN,25.3,7-6(5) 6-3,3,R16,116.0,2.0,2.0,72.0,42.0,26.0,17.0,10.0,3.0,6.0,2.0,5.0,77.0,42.0,27.0,14.0,11.0,6.0,11.0,13.0,2866.0,261.0,264.0,0
2024-540,Wimbledon,Grass,128,G,20240701,149,213889,,,Greet Minnen,R,,BEL,26.8,201586,,WC,Heather Watson,R,170.0,GBR,32.1,7-5 6-4,3,R128,100.0,3.0,7.0,78.0,51.0,36.0,10.0,11.0,5.0,8.0,1.0,4.0,62.0,31.0,21.0,10.0,11.0,3.0,8.0,80.0,848.0,199.0,366.0,0
2022-540,Wimbledon,Grass,128,G,20220627,192,201586,,,Heather Watson,R,170.0,GBR,30.1,202492,,,Qiang Wang,R,172.0,CHN,30.4,7-5 6-4,3,R64,114.0,2.0,1.0,72.0,44.0,32.0,13.0,11.0,5.0,7.0,7.0,1.0,98.0,66.0,38.0,15.0,11.0,13.0,17.0,121.0,541.0,140.0,442.0,0
2022-2060,Sydney,Hard,30,P,20220110,300,211651,5,,Paula Badosa,R,180.0,ESP,24.1,206252,3,,Barbora Krejcikova,R,178.0,CZE,26.0,6-3 4-6 7-6(4),3,F,142.0,12.0,4.0,101.0,53.0,39.0,19.0,15.0,0.0,4.0,6.0,2.0,95.0,69.0,43.0,12.0,16.0,3.0,8.0,9.0,3849.0,4.0,5008.0,0
